State,2023,,2022,,2021,,2020 (41),,2019,,2018,,2017 (40),,2017,,2016,,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004 (revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
United States,"80,610",385,"77,540",612,"79,260",412,"79,560",626,"81,210",650,"75,790",504,"74,810",394,"75,100",410,"73,520",543,"71,000",403,"67,360",492,"68,220",833,"66,130",351,"65,740",269,"65,750",330,"66,730",440,"68,340",292,"68,780",187,"71,210",198,"70,080",301,"69,310",232,"68,250",302,"68,350",297,"68,310",224,"68,870",210,"70,020",220,"70,210",328,"68,470",405,"66,050",305,"64,710",326,"63,770",369,"61,800",282,"61,150",286,"61,450",291,"61,960",296,"63,830",326,"64,610",355,"63,530",324,"63,060",307,"62,280",323,"60,050",325,"58,930",268
Alabama,"60,660","3,993","62,290","2,011","63,750","2,569","63,980","2,998","66,430","2,970","59,900","2,907","62,250","1,339","62,550","1,034","58,800","2,865","55,920","4,295","53,070","1,919","60,250","7,017","52,690","2,947","56,010","3,259","55,940","2,655","55,440","3,245","54,890","1,241","60,810","2,268","59,840","2,013","55,180","1,474","55,580","1,818","56,390","2,006","58,790","2,493","60,570","1,711","57,340","1,641","59,070","1,788","62,540","2,051","63,860","2,301","57,010","2,868","55,250","2,294","48,640","2,369","52,100","2,986","49,100","2,130","51,770","2,122","50,080","2,197","49,790","2,210","47,570","2,392","46,550","2,128","47,750","2,775","47,860","2,214","46,610","1,932","45,510","1,591"
Alaska,"98,190","6,112","93,310","5,034","90,850","4,442","87,440","4,162","92,670","7,902","82,450","4,067","95,440","4,550","88,390","3,327","94,290","5,088","94,360","4,378","84,900","3,958","92,270","6,934","77,840","4,203","82,020","3,658","75,440","4,873","78,340","3,237","84,570","2,404","87,500","3,148","89,290","2,244","82,020","2,174","83,620","1,991","84,760","3,188","81,790","1,548","85,010","1,728","93,550","3,281","88,130","1,933","88,670","3,840","89,260","3,740","85,660","2,245","96,220","3,477","89,740","3,758","86,900","2,862","84,030","3,216","83,850","2,319","83,530","3,748","83,770","3,468","80,480","3,080","77,240","2,760","80,410","3,622","78,440","2,544","88,440","2,769","85,070","3,873"
Arizona,"82,660","2,723","76,370","4,287","79,310","3,801","78,480","3,988","83,540","4,008","74,710","2,748","73,060","3,291","74,800","3,233","71,100","2,454","65,640","2,523","61,830","2,892","66,980","5,558","64,430","6,151","60,620","3,765","63,860","3,184","63,510","3,016","62,790","1,704","64,150","1,538","66,930","2,204","67,830","1,811","67,690","1,901","67,500","1,759","64,960","2,244","64,000","1,616","69,640","2,350","66,340","2,018","63,820","1,955","65,310","2,210","58,440","2,315","57,680","2,323","57,750","2,545","59,940","1,481","59,720","2,192","58,890","2,182","63,220","1,845","62,290","2,432","63,820","2,705","61,680","1,967","64,720","2,158","63,790","1,796","60,710","1,892","56,330","1,601"
Arkansas,"63,250","2,451","56,120","2,470","56,870","1,613","59,400","2,149","64,470","2,818","59,720","2,529","60,880","3,048","59,750","3,233","57,170","2,696","53,770","1,975","56,390","3,196","50,130","3,058","50,830","3,042","50,280","3,624","54,250","2,429","52,260","3,337","50,160","1,248","54,130","1,633","57,830","1,911","53,880","1,115","54,840","1,958","53,850","1,530","50,500","1,224","52,170","1,253","54,370","1,866","49,520","1,287","51,210","1,770","48,710","2,043","46,700","2,060","49,450","1,783","48,310","1,869","48,970","1,808","45,100","1,658","47,900","2,804","48,200","1,610","48,570","2,091","47,910","2,045","47,070","1,647","45,550","2,439","46,850","1,914","44,370","1,943","41,210","1,967"
California,"89,870","1,840","88,690","2,037","91,350","1,365","90,840","1,681","92,330","2,187","84,560","1,479","85,710","1,929","85,370","1,777","82,980","1,339","79,940","2,149","75,930","1,122","77,400","2,306","73,240","1,557","73,480","1,595","70,100","1,810","73,520","1,601","77,070",850,"77,960","1,134","79,000",876,"80,430","1,010","77,430",688,"75,770","1,016","77,790","1,292","76,410","1,234","77,080","1,186","78,070","1,144","75,270","1,213","72,080","1,016","70,850","1,542","70,760","1,491","69,250","1,353","67,680","1,186","66,700","1,274","70,010","1,262","69,240","1,409","70,960","1,204","73,780","1,381","70,670","1,479","72,940","1,302","72,570","1,426","68,600",890,"66,480",957
Colorado,"96,640","6,194","93,510","3,940","95,130","3,533","98,010","7,041","85,700","6,172","87,610","4,273","91,760","3,256","90,770","3,649","87,870","5,137","83,660","4,626","76,500","3,030","86,470","5,257","80,680","3,565","73,780","3,490","77,010","3,353","81,570","3,360","76,790","2,190","83,330","2,595","86,670","1,437","80,970","2,216","75,470","1,925","78,330","2,448","78,800","1,827","77,790","2,358","80,560","1,941","80,450","2,063","83,110","2,558","82,050","1,912","77,170","3,470","74,660","2,423","76,170","2,904","72,470","2,770","67,510","3,071","65,160","2,951","64,790","2,561","65,510","1,931","59,920","3,125","61,170","2,998","64,060","2,601","68,020","2,316","71,660","2,161","67,830","2,116"
Connecticut,"92,240","5,980","94,340","4,414","90,660","5,891","92,930","4,214","103,200","5,474","87,340","6,141","90,930","4,226","89,060","4,294","94,540","4,239","91,570","5,589","88,080","3,346","88,220","4,123","86,300","3,243","82,790","3,676","85,920","3,959","89,380","2,837","89,030","3,169","88,440","3,693","90,920","2,904","90,730","3,143","85,030","2,443","84,820","2,537","86,730","2,463","86,000","2,207","87,000","2,022","83,670","2,263","87,280","3,961","81,890","4,804","78,510","3,550","76,790","5,628","75,310","4,246","78,720","3,055","77,350","3,249","81,920","3,956","86,700","3,998","82,850","4,470","94,600","3,558","84,500","3,017","79,510","3,296","81,850","4,015","79,050","2,871","78,740","3,255"
Delaware,"86,340","3,867","83,960","4,326","76,920","3,269","81,920","6,180","87,700","3,557","77,990","4,317","79,500","6,400","76,260","4,038","72,280","3,726","72,560","4,261","72,210","3,728","68,870","5,538","66,490","3,165","63,110","2,546","71,800","2,292","74,780","3,054","71,550","2,445","69,330","1,898","77,380","3,060","76,240","2,515","76,650","1,610","73,970","2,187","77,350","2,174","79,980","2,714","80,890","2,394","83,990","2,515","80,440","3,935","73,000","3,087","76,810","3,680","71,670","2,556","65,360","3,458","68,720","2,281","70,590","1,662","71,570","2,794","67,020","2,285","65,660","2,372","71,680","2,533","71,180","2,723","70,760","2,117","64,100","3,032","58,430","3,473","67,880","2,700"
District of Columbia,"111,000","4,904","105,700","3,237","101,500","4,206","103,200","4,107","110,100","4,591","102,900","3,190","99,470","2,329","102,000","4,062","88,390","3,404","88,030","3,594","85,710","5,526","76,460","7,040","77,250","3,924","84,080","4,731","72,570","2,770","77,100","4,514","72,960","2,867","76,010","2,411","71,980","1,555","70,480","2,441","67,310","3,242","66,890","2,869","71,080","2,237","62,930","1,603","67,140","1,668","68,740","1,788","66,710","2,759","58,870","2,309","56,870","1,756","58,280","2,877","57,540","2,212","57,690","2,121","53,450","3,379","60,670","2,255","61,470","3,914","58,390","3,330","59,800","2,269","62,400","1,745","66,430","3,109","60,840","3,132","53,590","1,922","53,650","2,261"
