,State,Year,Median Income
510,Alabama,2001,57340
459,Alabama,2002,60570
408,Alabama,2003,58790
561,Alabama,2004,58790
357,Alabama,2005,55580
306,Alabama,2006,55180
255,Alabama,2007,59840
204,Alabama,2008,60810
562,Alabama,2009,60810
563,Alabama,2010,60810
153,Alabama,2011,55940
102,Alabama,2012,56010
564,Alabama,2013,56010
51,Alabama,2014,53070
0,Alabama,2015,55920
511,Alaska,2001,93550
460,Alaska,2002,85010
409,Alaska,2003,81790
565,Alaska,2004,81790
358,Alaska,2005,83620
307,Alaska,2006,82020
256,Alaska,2007,89290
205,Alaska,2008,87500
566,Alaska,2009,87500
567,Alaska,2010,87500
154,Alaska,2011,75440
103,Alaska,2012,82020
568,Alaska,2013,82020
52,Alaska,2014,84900
1,Alaska,2015,94360
512,Arizona,2001,69640
461,Arizona,2002,64000
410,Arizona,2003,64960
569,Arizona,2004,64960
359,Arizona,2005,67690
308,Arizona,2006,67830
257,Arizona,2007,66930
206,Arizona,2008,64150
570,Arizona,2009,64150
571,Arizona,2010,64150
155,Arizona,2011,63860
104,Arizona,2012,60620
572,Arizona,2013,60620
53,Arizona,2014,61830
2,Arizona,2015,65640
513,Arkansas,2001,54370
462,Arkansas,2002,52170
411,Arkansas,2003,50500
573,Arkansas,2004,50500
360,Arkansas,2005,54840
309,Arkansas,2006,53880
258,Arkansas,2007,57830
207,Arkansas,2008,54130
574,Arkansas,2009,54130
575,Arkansas,2010,54130
156,Arkansas,2011,54250
105,Arkansas,2012,50280
576,Arkansas,2013,50280
54,Arkansas,2014,56390
3,Arkansas,2015,53770
514,California,2001,77080
463,California,2002,76410
412,California,2003,77790
577,California,2004,77790
361,California,2005,77430
310,California,2006,80430
259,California,2007,79000
208,California,2008,77960
578,California,2009,77960
579,California,2010,77960
157,California,2011,70100
106,California,2012,73480
580,California,2013,73480
55,California,2014,75930
4,California,2015,79940
515,Colorado,2001,80560
464,Colorado,2002,77790
413,Colorado,2003,78800
581,Colorado,2004,78800
362,Colorado,2005,75470
311,Colorado,2006,80970
260,Colorado,2007,86670
209,Colorado,2008,83330
582,Colorado,2009,83330
583,Colorado,2010,83330
158,Colorado,2011,77010
107,Colorado,2012,73780
584,Colorado,2013,73780
56,Colorado,2014,76500
5,Colorado,2015,83660
516,Connecticut,2001,87000
465,Connecticut,2002,86000
414,Connecticut,2003,86730
585,Connecticut,2004,86730
363,Connecticut,2005,85030
312,Connecticut,2006,90730
261,Connecticut,2007,90920
210,Connecticut,2008,88440
586,Connecticut,2009,88440
587,Connecticut,2010,88440
159,Connecticut,2011,85920
108,Connecticut,2012,82790
588,Connecticut,2013,82790
57,Connecticut,2014,88080
6,Connecticut,2015,91570
517,Delaware,2001,80890
466,Delaware,2002,79980
415,Delaware,2003,77350
589,Delaware,2004,77350
364,Delaware,2005,76650
313,Delaware,2006,76240
262,Delaware,2007,77380
211,Delaware,2008,69330
590,Delaware,2009,69330
591,Delaware,2010,69330
160,Delaware,2011,71800
109,Delaware,2012,63110
592,Delaware,2013,63110
58,Delaware,2014,72210
7,Delaware,2015,72560
518,District of Columbia,2001,67140
467,District of Columbia,2002,62930
416,District of Columbia,2003,71080
593,District of Columbia,2004,71080
365,District of Columbia,2005,67310
314,District of Columbia,2006,70480
263,District of Columbia,2007,71980
212,District of Columbia,2008,76010
594,District of Columbia,2009,76010
595,District of Columbia,2010,76010
161,District of Columbia,2011,72570
110,District of Columbia,2012,84080
596,District of Columbia,2013,84080
59,District of Columbia,2014,85710
8,District of Columbia,2015,88030
519,Florida,2001,59400
468,Florida,2002,61250
417,Florida,2003,61490
597,Florida,2004,61490
366,Florida,2005,64310
315,Florida,2006,66410
264,Florida,2007,64910
213,Florida,2008,61340
598,Florida,2009,61340
599,Florida,2010,61340
162,Florida,2011,59250
111,Florida,2012,59370
600,Florida,2013,59370
60,Florida,2014,57920
9,Florida,2015,61340
520,Georgia,2001,69440
469,Georgia,2002,69170
418,Georgia,2003,66960
601,Georgia,2004,66960
367,Georgia,2005,68710
316,Georgia,2006,71740
265,Georgia,2007,68950
214,Georgia,2008,63210
602,Georgia,2009,63210
603,Georgia,2010,63210
163,Georgia,2011,60390
112,Georgia,2012,62010
604,Georgia,2013,62010
61,Georgia,2014,62210
10,Georgia,2015,63780
521,Hawaii,2001,77370
470,Hawaii,2002,76200
419,Hawaii,2003,81790
605,Hawaii,2004,81790
368,Hawaii,2005,89140
317,Hawaii,2006,87910
266,Hawaii,2007,90750
215,Hawaii,2008,84120
606,Hawaii,2009,84120
607,Hawaii,2010,84120
164,Hawaii,2011,77560
113,Hawaii,2012,72500
608,Hawaii,2013,72500
62,Hawaii,2014,89410
11,Hawaii,2015,81050
522,Idaho,2001,62370
471,Idaho,2002,60750
420,Idaho,2003,66860
609,Idaho,2004,66860
369,Idaho,2005,66090
318,Idaho,2006,67190
267,Idaho,2007,69720
216,Idaho,2008,64840
610,Idaho,2009,64840
611,Idaho,2010,64840
165,Idaho,2011,62340
114,Idaho,2012,61750
612,Idaho,2013,61750
63,Idaho,2014,67080
12,Idaho,2015,64850
523,Illinois,2001,75300
472,Illinois,2002,68800
421,Illinois,2003,71250
613,Illinois,2004,71250
370,Illinois,2005,72410
319,Illinois,2006,70760
268,Illinois,2007,74430
217,Illinois,2008,72820
614,Illinois,2009,72820
615,Illinois,2010,72820
166,Illinois,2011,66510
115,Illinois,2012,66670
616,Illinois,2013,66670
64,Illinois,2014,68940
13,Illinois,2015,75900
524,Indiana,2001,65850
473,Indiana,2002,66120
422,Indiana,2003,66940
617,Indiana,2004,66940
371,Indiana,2005,63490
320,Indiana,2006,66010
269,Indiana,2007,67260
218,Indiana,2008,63610
618,Indiana,2009,63610
619,Indiana,2010,63610
167,Indiana,2011,58380
116,Indiana,2012,59480
620,Indiana,2013,59480
65,Indiana,2014,60330
14,Indiana,2015,65310
525,Iowa,2001,66830
474,Iowa,2002,66120
423,Iowa,2003,65300
621,Iowa,2004,65300
372,Iowa,2005,69570
321,Iowa,2006,69970
270,Iowa,2007,69330
219,Iowa,2008,68560
622,Iowa,2009,68560
623,Iowa,2010,68560
168,Iowa,2011,65960
117,Iowa,2012,68870
624,Iowa,2013,68870
66,Iowa,2014,72570
15,Iowa,2015,76450
526,Kansas,2001,67540
475,Kansas,2002,68650
424,Kansas,2003,69790
625,Kansas,2004,69790
373,Kansas,2005,62870
322,Kansas,2006,66230
271,Kansas,2007,68740
220,Kansas,2008,65470
626,Kansas,2009,65470
627,Kansas,2010,65470
169,Kansas,2011,60610
118,Kansas,2012,64440
628,Kansas,2013,64440
67,Kansas,2014,67090
16,Kansas,2015,68930
527,Kentucky,2001,62690
476,Kentucky,2002,59220
425,Kentucky,2003,58280
629,Kentucky,2004,58280
374,Kentucky,2005,54900
323,Kentucky,2006,57410
272,Kentucky,2007,55920
221,Kentucky,2008,56260
630,Kentucky,2009,56260
631,Kentucky,2010,56260
170,Kentucky,2011,52350
119,Kentucky,2012,52940
632,Kentucky,2013,52940
68,Kentucky,2014,53710
17,Kentucky,2015,53250
528,Louisiana,2001,54340
477,Louisiana,2002,54780
426,Louisiana,2003,52870
633,Louisiana,2004,52870
375,Louisiana,2005,55710
324,Louisiana,2006,53050
273,Louisiana,2007,58560
222,Louisiana,2008,54100
634,Louisiana,2009,54100
635,Louisiana,2010,54100
171,Louisiana,2011,53400
120,Louisiana,2012,50370
636,Louisiana,2013,50370
69,Louisiana,2014,53230
18,Louisiana,2015,57690
529,Maine,2001,59710
478,Maine,2002,59360
427,Maine,2003,58560
637,Maine,2004,58560
376,Maine,2005,65710
325,Maine,2006,66360
274,Maine,2007,67890
223,Maine,2008,64580
638,Maine,2009,64580
639,Maine,2010,64580
172,Maine,2011,65270
121,Maine,2012,63350
640,Maine,2013,63350
70,Maine,2014,64910
19,Maine,2015,63760
530,Maryland,2001,87300
479,Maryland,2002,90860
428,Maryland,2003,82550
641,Maryland,2004,82550
377,Maryland,2005,90530
326,Maryland,2006,92560
275,Maryland,2007,93030
224,Maryland,2008,87120
642,Maryland,2009,87120
643,Maryland,2010,87120
173,Maryland,2011,90470
122,Maryland,2012,92570
644,Maryland,2013,92570
71,Maryland,2014,95610
20,Maryland,2015,92450
531,Massachusetts,2001,85220
480,Massachusetts,2002,80310
429,Massachusetts,2003,80400
645,Massachusetts,2004,80400
378,Massachusetts,2005,83800
327,Massachusetts,2006,80440
276,Massachusetts,2007,82870
225,Massachusetts,2008,82480
646,Massachusetts,2009,82480
647,Massachusetts,2010,82480
174,Massachusetts,2011,83160
123,Massachusetts,2012,82030
648,Massachusetts,2013,82030
72,Massachusetts,2014,79280
21,Massachusetts,2015,85250
532,Michigan,2001,73470
481,Michigan,2002,68810
430,Michigan,2003,71040
649,Michigan,2004,71040
379,Michigan,2005,68720
328,Michigan,2006,70730
277,Michigan,2007,69980
226,Michigan,2008,68080
650,Michigan,2009,68080
651,Michigan,2010,68080
175,Michigan,2011,64200
124,Michigan,2012,64450
652,Michigan,2013,64450
73,Michigan,2014,65280
22,Michigan,2015,68090
533,Minnesota,2001,85920
482,Minnesota,2002,87980
431,Minnesota,2003,83350
653,Minnesota,2004,83350
380,Minnesota,2005,81110
329,Minnesota,2006,81720
278,Minnesota,2007,82300
227,Minnesota,2008,75100
654,Minnesota,2009,75100
655,Minnesota,2010,75100
176,Minnesota,2011,75950
125,Minnesota,2012,79630
656,Minnesota,2013,79630
74,Minnesota,2014,84410
23,Minnesota,2015,86340
534,Mississippi,2001,49190
483,Mississippi,2002,49740
432,Mississippi,2003,51640
657,Mississippi,2004,51640
381,Mississippi,2005,49180
330,Mississippi,2006,50500
279,Mississippi,2007,52840
228,Mississippi,2008,49830
658,Mississippi,2009,49830
659,Mississippi,2010,49830
177,Mississippi,2011,53970
126,Mississippi,2012,47220
660,Mississippi,2013,47220
75,Mississippi,2014,44590
24,Mississippi,2015,50300
535,Missouri,2001,67420
484,Missouri,2002,68900
433,Missouri,2003,69050
661,Missouri,2004,69050
382,Missouri,2005,64310
331,Missouri,2006,64810
280,Missouri,2007,65210
229,Missouri,2008,62950
662,Missouri,2009,62950
663,Missouri,2010,62950
178,Missouri,2011,60120
127,Missouri,2012,64130
664,Missouri,2013,64130
76,Missouri,2014,71090
25,Missouri,2015,74370
536,Montana,2001,52390
485,Montana,2002,56110
434,Montana,2003,53820
665,Montana,2004,53820
383,Montana,2005,55820
332,Montana,2006,59760
281,Montana,2007,61880
230,Montana,2008,58660
666,Montana,2009,58660
667,Montana,2010,58660
179,Montana,2011,52900
128,Montana,2012,58100
668,Montana,2013,58100
77,Montana,2014,64150
26,Montana,2015,64570
537,Nebraska,2001,71120
486,Nebraska,2002,68940
435,Nebraska,2003,69390
669,Nebraska,2004,69390
384,Nebraska,2005,71690
333,Nebraska,2006,70000
282,Nebraska,2007,69700
231,Nebraska,2008,69360
670,Nebraska,2009,69360
671,Nebraska,2010,69360
